query,plan,execution_time (ms)
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_nationkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 4, 'Actual Startup Time': 0.004, 'Actual Total Time': 0.007, 'Actual Rows': 25, 'Actual Loops': 1}",0.041
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_name from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 26, 'Actual Startup Time': 0.004, 'Actual Total Time': 0.007, 'Actual Rows': 25, 'Actual Loops': 1}",0.036
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_regionkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 4, 'Actual Startup Time': 0.004, 'Actual Total Time': 0.007, 'Actual Rows': 25, 'Actual Loops': 1}",0.039
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_comment from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 75, 'Actual Startup Time': 0.005, 'Actual Total Time': 0.01, 'Actual Rows': 25, 'Actual Loops': 1}",0.046
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_regionkey, n_nationkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 8, 'Actual Startup Time': 0.005, 'Actual Total Time': 0.008, 'Actual Rows': 25, 'Actual Loops': 1}",0.039
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_regionkey, n_comment from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 79, 'Actual Startup Time': 0.005, 'Actual Total Time': 0.008, 'Actual Rows': 25, 'Actual Loops': 1}",0.041
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_name, n_comment from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 101, 'Actual Startup Time': 0.005, 'Actual Total Time': 0.008, 'Actual Rows': 25, 'Actual Loops': 1}",0.06
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_comment, n_nationkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 79, 'Actual Startup Time': 0.005, 'Actual Total Time': 0.009, 'Actual Rows': 25, 'Actual Loops': 1}",0.044
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_name, n_regionkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 30, 'Actual Startup Time': 0.004, 'Actual Total Time': 0.007, 'Actual Rows': 25, 'Actual Loops': 1}",0.04
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select n_name, n_nationkey from nation ;","{'Node Type': 'Seq Scan', 'Parallel Aware': False, 'Relation Name': 'nation', 'Alias': 'nation', 'Startup Cost': 0.0, 'Total Cost': 1.25, 'Plan Rows': 25, 'Plan Width': 30, 'Actual Startup Time': 0.004, 'Actual Total Time': 0.007, 'Actual Rows': 25, 'Actual Loops': 1}",0.041
