query,plan,execution_time (ms),tables
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 4}}",0.041,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 26}}",0.036,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_regionkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 4}}",0.039,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_comment from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 75}}",0.046,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_regionkey, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 8}}",0.039,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_regionkey, n_comment from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 79}}",0.041,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name, n_comment from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 101}}",0.06,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_comment, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 79}}",0.044,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name, n_regionkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 30}}",0.04,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 30}}",0.041,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_comment, n_name, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 105}}",0.042,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_comment, n_regionkey, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 83}}",0.041,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name, n_regionkey, n_comment from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 105}}",0.043,"[""nation""]"
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select n_name, n_regionkey, n_nationkey from nation ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""nation"", ""Alias"": ""nation"", ""Startup Cost"": 0.0, ""Total Cost"": 1.25, ""Plan Rows"": 25, ""Plan Width"": 34}}",0.042,"[""nation""]"
