query,plan,execution_time (ms)
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_address, s_name, s_comment, s_phone, s_acctbal from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 144}}",24.496
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select p_size, p_mfgr, p_container, p_brand, p_type, p_retailprice, p_comment from part ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""part"", ""Alias"": ""part"", ""Startup Cost"": 0.0, ""Total Cost"": 12193.0, ""Plan Rows"": 400000, ""Plan Width"": 93}}",240.244
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_suppkey, s_address, s_name, s_comment, s_phone from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 134}}",21.502
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_discount, l_shipinstruct, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 115}}",14037.071
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_commitdate, l_extendedprice, l_suppkey, l_shipmode, l_quantity, l_comment from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 59}}",14346.491
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select s_nationkey from supplier ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""supplier"", ""Alias"": ""supplier"", ""Startup Cost"": 0.0, ""Total Cost"": 1286.0, ""Plan Rows"": 40000, ""Plan Width"": 4}}",23.65
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_linestatus, l_orderkey, l_comment from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 33}}",14330.815
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_partkey, l_discount, l_shipmode, l_tax, l_orderkey, l_comment from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 60}}",14377.29
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_returnflag, l_receiptdate, l_tax from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 16}}",14517.322
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_returnflag, l_discount, l_quantity, l_linenumber, l_comment from lineitem ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""lineitem"", ""Alias"": ""lineitem"", ""Startup Cost"": 0.0, ""Total Cost"": 344902.07, ""Plan Rows"": 11998207, ""Plan Width"": 52}}",14422.97
"EXPLAIN (ANALYZE false, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_comment, o_orderpriority from orders ;","{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""orders"", ""Alias"": ""orders"", ""Startup Cost"": 0.0, ""Total Cost"": 82188.46, ""Plan Rows"": 3000246, ""Plan Width"": 93}}",2437.669
