query,execution_time,table1_stats_filepath,table2_stats_filepath
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_address, s_name, s_comment, s_phone, s_acctbal from supplier ;",24.496,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_size, p_mfgr, p_container, p_brand, p_type, p_retailprice, p_comment from part ;",240.244,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_address, s_name, s_comment, s_phone from supplier ;",21.502,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_discount, l_shipinstruct, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",14037.071,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate, l_extendedprice, l_suppkey, l_shipmode, l_quantity, l_comment from lineitem ;",14346.491,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_nationkey from supplier ;",23.65,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_orderkey, l_comment from lineitem ;",14330.815,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_partkey, l_discount, l_shipmode, l_tax, l_orderkey, l_comment from lineitem ;",14377.29,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_returnflag, l_receiptdate, l_tax from lineitem ;",14517.322,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_returnflag, l_discount, l_quantity, l_linenumber, l_comment from lineitem ;",14422.97,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_comment, o_orderpriority from orders ;",2437.669,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_address, c_nationkey, c_acctbal, c_comment, c_phone from customer ;",184.469,customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_name, s_phone, s_nationkey from supplier ;",20.991,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_comment, s_phone, s_acctbal from supplier ;",21.679,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_availqty, ps_partkey, ps_suppkey from partsupp ;",1158.981,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_discount, l_extendedprice, l_returnflag from lineitem ;",13884.411,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_mfgr, p_comment from part ;",233.211,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_shipdate from lineitem ;",14755.082,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name, p_size, p_mfgr, p_partkey, p_comment from part ;",236.549,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_availqty from partsupp ;",871.994,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_partkey, ps_suppkey from partsupp ;",868.871,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_mktsegment, c_address, c_nationkey, c_name, c_acctbal, c_comment, c_phone from customer ;",277.617,customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_partkey, l_returnflag, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",13785.135,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_totalprice, o_orderstatus, o_orderdate, o_comment, o_orderpriority, o_shippriority from orders ;",2423.646,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_mktsegment, c_name, c_acctbal, c_comment, c_phone, c_custkey from customer ;",178.653,customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_availqty, ps_suppkey from partsupp ;",1179.61,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_shipmode, l_linenumber, l_comment, l_shipdate from lineitem ;",13603.843,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_size, p_mfgr, p_container, p_brand, p_type, p_retailprice from part ;",238.699,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_returnflag, l_discount, l_shipmode, l_quantity, l_linenumber, l_comment from lineitem ;",14217.981,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_retailprice, p_partkey, p_mfgr, p_container from part ;",229.936,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderstatus, o_comment, o_orderpriority from orders ;",2418.782,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_orderstatus, o_custkey from orders ;",1747.977,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_comment, o_clerk, o_totalprice from orders ;",1671.143,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_suppkey, l_returnflag, l_partkey, l_shipmode, l_receiptdate, l_shipdate from lineitem ;",14092.406,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_comment from customer ;",184.245,customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_phone, s_comment from supplier ;",21.446,supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_partkey, ps_availqty from partsupp ;",1103.492,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_extendedprice, l_returnflag, l_discount, l_shipinstruct, l_receiptdate, l_tax, l_orderkey from lineitem ;",13851.3,lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_type, p_retailprice from part ;",229.037,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_name, c_mktsegment, c_custkey from customer ;",171.905,customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_custkey, o_totalprice, o_orderstatus, o_comment, o_shippriority from orders ;",2406.659,orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name from part ;",205.965,part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_partkey from partsupp ;",1074.889,partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_orderdate, o_comment, o_orderpriority, o_shippriority, o_orderkey from orders ;",2836.672,orders_table_stats.json,
