query,execution_time,table1_stats_filepath,table2_stats_filepath
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_address, s_name, s_comment, s_phone, s_acctbal from supplier ;",24.496,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_size, p_mfgr, p_container, p_brand, p_type, p_retailprice, p_comment from part ;",240.244,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_address, s_name, s_comment, s_phone from supplier ;",21.502,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_extendedprice, l_partkey, l_discount, l_shipinstruct, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",14037.071,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_commitdate, l_extendedprice, l_suppkey, l_shipmode, l_quantity, l_comment from lineitem ;",14346.491,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_nationkey from supplier ;",23.65,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_orderkey, l_comment from lineitem ;",14330.815,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_partkey, l_discount, l_shipmode, l_tax, l_orderkey, l_comment from lineitem ;",14377.29,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_suppkey, l_returnflag, l_receiptdate, l_tax from lineitem ;",14517.322,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_returnflag, l_discount, l_quantity, l_linenumber, l_comment from lineitem ;",14422.97,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_clerk, o_custkey, o_totalprice, o_comment, o_orderpriority from orders ;",2437.669,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_address, c_nationkey, c_acctbal, c_comment, c_phone from customer ;",184.469,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_name, s_phone, s_nationkey from supplier ;",20.991,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select s_suppkey, s_nationkey, s_comment, s_phone, s_acctbal from supplier ;",21.679,table_info\supplier_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_availqty, ps_partkey, ps_suppkey from partsupp ;",1158.981,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_discount, l_extendedprice, l_returnflag from lineitem ;",13884.411,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_mfgr, p_comment from part ;",233.211,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_shipdate from lineitem ;",14755.082,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select p_name, p_size, p_mfgr, p_partkey, p_comment from part ;",236.549,table_info\part_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_availqty from partsupp ;",871.994,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_comment, ps_partkey, ps_suppkey from partsupp ;",868.871,table_info\partsupp_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_mktsegment, c_address, c_nationkey, c_name, c_acctbal, c_comment, c_phone from customer ;",277.617,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select l_linestatus, l_commitdate, l_suppkey, l_partkey, l_returnflag, l_shipmode, l_quantity, l_receiptdate, l_linenumber, l_tax, l_orderkey, l_comment, l_shipdate from lineitem ;",13785.135,table_info\lineitem_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select o_totalprice, o_orderstatus, o_orderdate, o_comment, o_orderpriority, o_shippriority from orders ;",2423.646,table_info\orders_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select c_mktsegment, c_name, c_acctbal, c_comment, c_phone, c_custkey from customer ;",178.653,table_info\customer_table_stats.json,
"EXPLAIN (ANALYZE true, COSTS true, FORMAT json) Select ps_supplycost, ps_availqty, ps_suppkey from partsupp ;",1179.61,table_info\partsupp_table_stats.json,
